date,keyword,value,region,region_name,group
2020-03-22,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-23,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-24,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-25,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-26,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-27,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-28,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-29,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-30,aedes aegypti,0.0,CR,national,dengue_spread
2020-03-31,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-01,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-02,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-03,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-04,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-05,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-06,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-07,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-08,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-09,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-10,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-11,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-12,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-13,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-14,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-15,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-16,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-17,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-18,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-19,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-20,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-21,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-22,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-23,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-24,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-25,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-26,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-27,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-28,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-29,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-30,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-01,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-02,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-03,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-04,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-05,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-06,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-07,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-08,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-09,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-10,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-11,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-12,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-13,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-14,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-15,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-16,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-17,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-18,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-19,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-20,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-21,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-22,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-23,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-24,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-25,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-26,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-27,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-28,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-29,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-30,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-31,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-01,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-02,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-03,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-04,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-05,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-06,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-07,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-08,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-09,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-10,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-11,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-12,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-13,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-14,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-15,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-16,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-17,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-18,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-19,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-20,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-21,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-22,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-23,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-24,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-25,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-26,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-27,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-28,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-29,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-30,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-01,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-02,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-03,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-04,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-05,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-06,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-07,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-08,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-09,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-10,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-11,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-12,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-13,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-14,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-15,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-16,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-17,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-18,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-19,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-20,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-21,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-22,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-23,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-24,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-25,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-26,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-27,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-28,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-29,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-30,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-31,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-01,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-02,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-03,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-04,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-05,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-06,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-07,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-08,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-09,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-10,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-11,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-12,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-13,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-14,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-15,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-16,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-17,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-18,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-19,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-20,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-21,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-22,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-23,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-24,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-25,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-26,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-27,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-28,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-29,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-30,aedes aegypti,0.0,CR,national,dengue_spread
2020-08-31,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-01,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-02,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-03,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-04,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-05,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-06,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-07,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-08,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-09,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-10,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-11,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-12,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-13,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-14,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-15,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-16,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-17,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-18,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-19,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-20,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-21,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-22,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-23,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-24,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-25,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-26,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-27,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-28,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-29,aedes aegypti,0.0,CR,national,dengue_spread
2020-09-30,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-01,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-02,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-03,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-04,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-05,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-06,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-07,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-08,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-09,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-10,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-11,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-12,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-13,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-14,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-15,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-16,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-17,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-18,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-19,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-20,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-21,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-22,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-23,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-24,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-25,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-26,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-27,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-28,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-29,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-30,aedes aegypti,0.0,CR,national,dengue_spread
2020-10-31,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-01,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-02,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-03,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-04,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-05,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-06,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-07,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-08,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-09,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-10,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-11,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-12,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-13,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-14,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-15,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-16,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-17,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-18,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-19,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-20,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-21,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-22,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-23,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-24,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-25,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-26,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-27,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-28,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-29,aedes aegypti,0.0,CR,national,dengue_spread
2020-11-30,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-01,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-02,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-03,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-04,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-05,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-06,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-07,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-08,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-09,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-10,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-11,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-12,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-13,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-14,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-15,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-16,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-17,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-18,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-19,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-20,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-21,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-22,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-23,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-24,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-25,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-26,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-27,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-28,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-29,aedes aegypti,4.6,CR,national,dengue_spread
2020-12-30,aedes aegypti,0.0,CR,national,dengue_spread
2020-12-31,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-01,aedes aegypti,8.0,CR,national,dengue_spread
2021-01-02,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-03,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-04,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-05,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-06,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-07,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-08,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-09,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-10,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-11,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-12,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-13,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-14,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-15,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-16,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-17,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-18,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-19,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-20,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-21,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-22,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-23,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-24,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-25,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-26,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-27,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-28,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-29,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-30,aedes aegypti,0.0,CR,national,dengue_spread
2021-01-31,aedes aegypti,0.0,CR,national,dengue_spread
2021-02-01,aedes aegypti,0.0,CR,national,dengue_spread
2021-02-02,aedes aegypti,0.0,CR,national,dengue_spread
2021-02-03,aedes aegypti,0.0,CR,national,dengue_spread
2021-02-04,aedes aegypti,0.0,CR,national,dengue_spread
2021-02-05,aedes aegypti,0.0,CR,national,dengue_spread
2021-02-06,aedes aegypti,0.0,CR,national,dengue_spread
2021-02-07,aedes aegypti,0.0,CR,national,dengue_spread
2021-02-08,aedes aegypti,0.0,CR,national,dengue_spread
2021-02-09,aedes aegypti,0.0,CR,national,dengue_spread
2021-02-10,aedes aegypti,0.0,CR,national,dengue_spread
2021-02-11,aedes aegypti,0.0,CR,national,dengue_spread
2021-02-12,aedes aegypti,0.0,CR,national,dengue_spread
2021-02-13,aedes aegypti,0.0,CR,national,dengue_spread
2021-02-14,aedes aegypti,0.0,CR,national,dengue_spread
2021-02-15,aedes aegypti,0.0,CR,national,dengue_spread
2021-02-16,aedes aegypti,0.0,CR,national,dengue_spread
2021-02-17,aedes aegypti,0.0,CR,national,dengue_spread
2021-02-18,aedes aegypti,0.0,CR,national,dengue_spread
2021-02-19,aedes aegypti,0.0,CR,national,dengue_spread
2021-02-20,aedes aegypti,0.0,CR,national,dengue_spread
2021-02-21,aedes aegypti,0.0,CR,national,dengue_spread
2021-02-22,aedes aegypti,0.0,CR,national,dengue_spread
2021-02-23,aedes aegypti,0.0,CR,national,dengue_spread
2021-02-24,aedes aegypti,0.0,CR,national,dengue_spread
2021-02-25,aedes aegypti,0.0,CR,national,dengue_spread
2021-02-26,aedes aegypti,0.0,CR,national,dengue_spread
2021-02-27,aedes aegypti,0.0,CR,national,dengue_spread
2021-02-28,aedes aegypti,0.0,CR,national,dengue_spread
2021-03-01,aedes aegypti,0.0,CR,national,dengue_spread
2021-03-02,aedes aegypti,0.0,CR,national,dengue_spread
2021-03-03,aedes aegypti,0.0,CR,national,dengue_spread
2021-03-04,aedes aegypti,0.0,CR,national,dengue_spread
2021-03-05,aedes aegypti,0.0,CR,national,dengue_spread
2021-03-06,aedes aegypti,0.0,CR,national,dengue_spread
2021-03-07,aedes aegypti,0.0,CR,national,dengue_spread
2021-03-08,aedes aegypti,0.0,CR,national,dengue_spread
2021-03-09,aedes aegypti,0.0,CR,national,dengue_spread
2021-03-10,aedes aegypti,0.0,CR,national,dengue_spread
2021-03-11,aedes aegypti,0.0,CR,national,dengue_spread
2021-03-12,aedes aegypti,0.0,CR,national,dengue_spread
2021-03-13,aedes aegypti,0.0,CR,national,dengue_spread
2021-03-14,aedes aegypti,0.0,CR,national,dengue_spread
2021-03-15,aedes aegypti,0.0,CR,national,dengue_spread
2021-03-16,aedes aegypti,0.0,CR,national,dengue_spread
2021-03-17,aedes aegypti,0.0,CR,national,dengue_spread
2021-03-18,aedes aegypti,0.0,CR,national,dengue_spread
2021-03-19,aedes aegypti,0.0,CR,national,dengue_spread
2021-03-20,aedes aegypti,0.0,CR,national,dengue_spread
2021-03-21,aedes aegypti,0.0,CR,national,dengue_spread
2021-03-22,aedes aegypti,0.0,CR,national,dengue_spread
2021-03-23,aedes aegypti,0.0,CR,national,dengue_spread
2021-03-24,aedes aegypti,0.0,CR,national,dengue_spread
2021-03-25,aedes aegypti,0.0,CR,national,dengue_spread
